Sigmoid Function	"<img class=latex src=""latex-fc961abcb39c04e8cd25d237e87ea6f4055db8bd.png""><div>Always crosses y axis at 0.5</div>"
Softplus	smoothed out ReLU&nbsp;function
Bayes Rule	"<img class=latex src=""latex-16c29011c5fed8f2ad9bedfdff3a83222278b509.png"">"
Self information of an event	"<img class=latex src=""latex-ad5acac3fb84626d605ba4c60bcfce40207bc146.png"">"
L1 Regularization	"<img class=latex src=""latex-cb07d4c9b4404734a0e43fc3bd02f466c12b7de9.png""><div>- favors sparse weight vectors, thereby discarding noise</div><div>- resulting in built in feature selection</div>"
L2 Regularization	"<img class=latex src=""latex-f362d338f18fcd2e043a77aa633d1571f730106a.png""><div>- Penalizes peaky weight vectors</div>"
Input for a Synapse (biological)	Dendritic tree
Components of a neuron (biological)	Dendritic tree<br>Synapse<br>Axon
Function of Synapse (biological)	Connection of dendritic tree and axon:&nbsp;<div>- synapse generates chemical signal from electric spikes</div><div>- axon generates new electrical spikes when cell membrane is depolarized (forming a threshold)</div>
Function of Axon (biological)	Connects to other dendritic trees, generates elctrical spikes when threshold is reached
ReLU	max(0, x)
Two types of supervised learning	Regression &amp; Classification
What does learning usually mean?	Adjusting parameters to reduce the difference between actual and expected output
Perceptron in the strict sense	Binary classifier (discrete output)
"<img class=latex src=""latex-03a45952f8115322d2879f7d090126f059757ba0.png"">"	Eta
Delta Rule in Backpropagation	"<img class=latex src=""latex-8722e35ef7c05c946bde5408d053c5fe98044297.png""><div><img class=latex src=""latex-03a45952f8115322d2879f7d090126f059757ba0.png""> learning rate</div><div><img class=latex src=""latex-60c4be24f70d72a397c2d2c34c53445d8831a761.png""> error<br></div><div><img class=latex src=""latex-2bda1dc998f554b2fec6cabde67062729f16b224.png""> derivation of activation function<br></div><div><img class=latex src=""latex-247e5951757ccac96f3a138f5ad6a852e23c5bf4.png""> for a linear activation function<br></div><div><img class=latex src=""latex-67bc6daa9d6b964201d6cef60cbeb1ac5fd26ead.png""> input<br></div>"
Sigmoid Function Derivation	"<img class=latex src=""latex-311dac8436b3bf5b36a73fa29e80e9522947dc7d.png"">"
Backpropagation: Error Term for Output Layer - what is its formula, what is it used for?	"<img class=latex src=""latex-59efccf6e80a5cea9d056c6cd8dcdfb42ea4fbeb.png""><div>Used in the update rule for output layer's weights</div>"
Backpropagation: Error Term for Hidden Layer (with sigmoid activation function)	"<img class=latex src=""latex-db60c174790496d681d04dcdf3d56c6912d9847f.png""><div><br>Where&nbsp;</div><div><img class=latex src=""latex-d6b77a4c3f1706420d56bf3bbd19439ea86e592b.png""> is the error term of the respective output neuron</div><div><img class=latex src=""latex-0785f19824c8b23ab3dfe000b471994078fdf589.png""> is the activation value of the neuron</div><div><img class=latex src=""latex-797680ab36da0bc5728d17419ef6455be64d6428.png""> is the backpropagated error term for output <img class=latex src=""latex-8c325612684d41304b9751c175df7bcc0f61f64f.png""> of this neuron (<img class=latex src=""latex-8122aa89ea6e80784c6513d22787ad86e36ad0cc.png"">)<br></div>"
Backpropagation: Update Rule for Output Weights	"<img class=latex src=""latex-b0bde26a4644c90bc5eb00192d5634f099e8431e.png"">"
